﻿Pregunta;Esperada;C1_SLM_Resp;C1_Eval;C2_LLM_Resp;C2_Eval;C2B_QWEN_Resp;C2B_Eval
¿Cómo se llama el mecanismo de la Unión Europea que impondrá un cargo a las importaciones de bienes con altas emisiones de carbono a partir del 1 de enero de 2016?;Mecanismo de Ajuste en Frontera por Carbono.;"El mecanismo se llama ""Bono Carbono"".";INCORRECTO;Mecanismo de Ajuste en Fronteras por el Carbono (MAC).;CORRECTO;El mecanismo se llama **Mecanismo de Ajuste de Frontera de Carbono (CBAM)**. Sin embargo, su implementación comenzó en 2023, no en 2016.;CORRECTO
Teniendo en cuenta la postura de China en la cumbre, ¿se mostró este país abierto a debatir el acortamiento de los plazos para presentar sus planes de acción climática (NDC)?;No, China se ha mostrado firme en que no debería haber debate sobre estos planes.;China no mostró abiertamente una postura a favor de debatir el acortamiento de los plazos para presentar sus planes de acción climática (NDC) en la cumbre.;CORRECTO;No, China se mostró reacio a debatir sobre el acortamiento de los plazos para presentar sus planes de acción climática (NDC).;CORRECTO;China no mostró apertura a acortar los plazos para presentar sus NDC, enfatizando la necesidad de equilibrar objetivos climáticos con su desarrollo económico y la justicia climática.;INCORRECTO
¿En qué ciudad de la Amazonia brasileña se celebró la conferencia de la ONU sobre el clima conocida como COP30?;En la ciudad de Belém.;La conferencia de la ONU sobre el clima COP30 se celebró en Manaus, ciudad de la Amazonia brasileña.;INCORRECTO;La COP30 se celebrará en 2025, pero no hay información sobre su ubicación en la Amazonia brasileña. La COP27 se llevó a cabo en Egipto y la COP28 en Emiratos Árabes Unidos.;INCORRECTO;La COP30 se celebrará en **Manaus**, en la región amazónica de Brasil.;INCORRECTO
¿Qué nuevos compromisos de financiación aportó la delegación de Estados Unidos durante su intervención en la cumbre de Belém?;Ninguno, ya que Estados Unidos, a pesar de ser el mayor emisor histórico, estuvo ausente en la cumbre de Belém.;Durante la cumbre de Belém, la delegación de Estados Unidos no anunció nuevos compromisos de financiación específicos.;INCORRECTO;No tengo información sobre la cumbre de Belém. ¿Puedes proporcionar más contexto?;INCORRECTO;La delegación de Estados Unidos anunció un compromiso de **$2.200 millones** en nuevos fondos para conservación oceánica, incluyendo áreas marinas protegidas, pesca sostenible y reducción de la contaminación. También respaldó el Tratado de las Zonas Oceánicas de Alta Mar.;INCORRECTO
Según un nuevo análisis publicado por la Organización Mundial de la Salud (OMS), ¿cuál es la relación probada entre las vacunas y el autismo?;Se confirma que no existe ninguna relación entre las vacunas y el autismo.;La OMS ha confirmado que no hay evidencia científica que respalde la relación entre las vacunas y el autismo.;CORRECTO;No hay relación probada entre las vacunas y el autismo. La OMS y numerosos estudios científicos han demostrado que no existe una conexión causal entre las vacunas y el autismo.;CORRECTO;La OMS afirma que no hay relación probada entre vacunas y autismo. Estudios rigurosos, incluido el análisis de la OMS, han desacreditado la teoría original (basada en un estudio fraudulento de 1998) y concluyen que las vacunas son seguras.;CORRECTO
¿Qué compañía farmacéutica japonesa desarrolló la primera vacuna contra la viruela del mono aprobada por la OMS para niños?;KM Biologics.;La compañía farmacéutica japonesa que desarrolló la primera vacuna contra la viruela del mono aprobada por la OMS para niños es Takeda Pharmaceutical Company.;INCORRECTO;No tengo información sobre una vacuna contra la viruela del mono aprobada por la OMS para niños desarrollada por una compañía farmacéutica japonesa.;INCORRECTO;La primera vacuna contra la viruela del mono aprobada por la OMS para niños fue desarrollada por **Bavarian Nordic**, una empresa danesa, no japonesa. No hay evidencia de que una empresa farmacéutica japonesa haya desarrollado esta vacuna.;INCORRECTO
¿A partir de qué edad puede utilizarse la vacuna contra la viruela del mono fabricada por KM Biologics?;A partir del primer año de edad.;La vacuna contra la viruela del mono, también conocida como monkeypox, puede ser utilizada en niños de 2 años de edad en adelante, según las recomendaciones de la Organización Mundial de la Salud (OMS).;INCORRECTO;A partir de los 18 años.;INCORRECTO;La vacuna contra la viruela del mono fabricada por **KM Biologics** no está reconocida o aprobada para su uso en la mayoría de los países. La vacuna aprobada para la viruela del mono es **Jynneos** (Bavarian Nordic), cuyo uso está autorizado en adultos de **18 años o más**. Si se refiere a otra vacuna, es necesario aclarar el nombre correcto.;INCORRECTO
¿Cómo se llama la alianza que facilita las inmunizaciones en países en desarrollo y que precisa la aprobación de la OMS para llevar la vacuna a la República Democrática del Congo?;GAVI.;La alianza que facilita las inmunizaciones en países en desarrollo y que requiere la aprobación de la OMS para llevar la vacuna a la República Democrática del Congo se llama GAVI, la Alianza de Vacunas.;CORRECTO;Gavi, la Alianza para las Vacunas.;CORRECTO;COVAX.;INCORRECTO
¿Cuántos pacientes espera tener implantados el Instituto Chino de Investigación Cerebral (CIBR) con el chip Beinao No. 1 para finales de año?;Trece personas.;El Instituto Chino de Investigación Cerebral (CIBR) no ha proporcionado información oficial sobre el número de pacientes esperados para tener implantados el chip Beinao No. 1 para finales de año.;INCORRECTO;6 pacientes.;INCORRECTO;El Instituto Chino de Investigación Cerebral (CIBR) espera implantar el chip Beinao No. 1 en **100 pacientes** para finales de año.;INCORRECTO
¿Cuál es la empresa tecnológica que ha desarrollado el chip visual Prima, de dos milímetros cuadrados, plantando cara a Neuralink?;Science Corporation.;El chip visual Prima fue desarrollado por la empresa Samsung Electronics.;INCORRECTO;La empresa tecnológica que ha desarrollado el chip visual Prima es Meta.;INCORRECTO;La empresa tecnológica que desarrolló el chip visual Prima es **BCI** (Brain-Computer Interface), con un tamaño de 2 milímetros cuadrados, posicionándose como competencia a Neuralink.;INCORRECTO
Según la historia estratégica detallada en el artículo, ¿en qué año fundó Elon Musk la compañía Neuralink?;En 2026.;Elon Musk fundó Neuralink en el año 2016.;INCORRECTO;2016.;INCORRECTO;2016;INCORRECTO
¿Cuál es el peso exacto del implante biotecnológico desarrollado por Neuralink?;Cuatro gramos.;El peso exacto del implante biotecnológico desarrollado por Neuralink no está especificado públicamente, ya que los detalles de diseño y especificaciones de los dispositivos pueden ser propietarios y confidenciales.;INCORRECTO;No tengo información sobre el peso exacto del implante biotecnológico de Neuralink.;INCORRECTO;El peso exacto del implante de Neuralink no ha sido divulgado públicamente. Se describe como del tamaño de una moneda (aproximadamente 8 mm de diámetro), pero los detalles técnicos específicos, como el peso, no están disponibles en fuentes oficiales.;INCORRECTO
¿Cuáles son las previsiones de facturación y número de pacientes implantados por curso que Neuralink espera alcanzar en el año 2031?;1.000 millones de facturación y 20.000 pacientes.;No tengo acceso a información financiera específica de Neuralink o cualquier otra empresa privada.;INCORRECTO;No tengo acceso a información actualizada sobre las previsiones específicas de Neuralink para el año 2031. Sin embargo, puedo decirte que Neuralink es una empresa que se enfoca en el desarrollo de interfaces cerebro-máquina y ha anunciado planes ambiciosos para el futuro, pero no tengo detalles sobre sus proyecciones financieras o de producción específicas para ese año.;INCORRECTO;Neuralink no ha publicado proyecciones oficiales de facturación ni número de pacientes implantados para 2031. La empresa se encuentra en etapas tempranas de desarrollo y validación regulatoria, por lo que cualquier estimación sería especulativa.;INCORRECTO
¿Cómo se llama el primer paciente humano que recibió el implante cerebral de Neuralink y que quedó tetrapléjico en 2016?;Noland Arbaugh.;El primer paciente humano que recibió el implante cerebral de Neuralink y que quedó tetrapléjico en 2016 es Mark Zuckerberg.;INCORRECTO;Matthew Roberts, pero no hay confirmación oficial de que haya sido el primer paciente.;INCORRECTO;No se ha reportado un caso de un paciente tetrapléjico en 2016 relacionado con Neuralink. La primera prueba en humanos de Neuralink se realizó en 2020 con un paciente no tetrapléjico.;INCORRECTO
¿Qué significan las siglas del ensayo PRIME en el que participa el primer paciente de Neuralink?;Precise Robotically Implanted Brain-Computer Interface.;"Las siglas PRIME significan ""Preliminary Investigation of Motor Cortex-Integrated Neural Interface"".";INCORRECTO;"PRIME significa ""Prospective, Randomized, Interventional, Multi-center, Early-Feasibility"" (Prospectivo, Aleatorizado, Intervencional, Multicéntrico, de factibilidad temprana).";INCORRECTO;PRIME significa **Pioneering Research in Medical Exploration** (Investigación Pionera en Exploración Médica). Es un ensayo clínico de fase 1 de Neuralink para evaluar la seguridad y viabilidad de su dispositivo cerebral.;INCORRECTO
¿En qué hospital exacto de la ciudad de Nueva York se le implantó el chip al paciente Noland Arbaugh?;No tengo información suficiente en mis archivos.;El paciente Noland Arbaugh fue sometido a una cirugía de implante de chip en el Hospital Mount Sinai de Nueva York.;INCORRECTO;Lo siento, no tengo información sobre un paciente llamado Noland Arbaugh o sobre un procedimiento de implantación de chip en un hospital de Nueva York. ¿Puedo ayudarte con algo más?;CORRECTO;El paciente Noland Arbaugh es un personaje ficticio de la película *Transcendence* (2014). No hay un hospital real en Nueva York asociado a este evento ficticio.;INCORRECTO
Según el artículo sobre el desafío de Colombia frente a España, ¿a finales de qué siglo se hundió el navío San José?;A finales del siglo XVII.;El navío San José se hundió en 1708.;INCORRECTO;A finales del siglo XVIII.;INCORRECTO;A finales del siglo XVIII.;INCORRECTO
Según la historia del buque, ¿qué día exacto fue hundido el galeón San José por una flota de corsarios ingleses?;El 8 de junio de 1708.;El galeón San José fue hundido el 8 de junio de 1708.;CORRECTO;El 8 de junio de 1708.;CORRECTO;El galeón San José fue hundido el **8 de junio de 1708** por corsarios ingleses liderados por Henry Morgan.;CORRECTO
¿Cuántas monedas de oro y plata recogidas en Portobelo (Panamá) llevaba aproximadamente el galeón en su interior?;Cerca de 11 millones de monedas de ocho escudos en oro y plata.;El galeón de Panamá, que era un barco español utilizado para el comercio transpacífico, podía llevar aproximadamente 100 toneladas de mercancías, incluyendo monedas de oro y plata. Sin embargo, el número exacto de monedas variaba según el tamaño y la capacidad del galeón.;INCORRECTO;Aproximadamente 100 toneladas.;INCORRECTO;El galeón San José, hundido en 1708, se estima que transportaba alrededor de **6 millones de monedas de oro y plata**, además de otros tesoros.;INCORRECTO
¿Qué palabra concreta figura inscrita en el cañón de artillería extraído del galeón San José?;"La palabra ""Sevilla"".";"La palabra concreta inscrita en el cañón de artillería extraído del galeón San José es ""Jesús"".";INCORRECTO;"La palabra ""Philippus"".";INCORRECTO;"""San José""";INCORRECTO
¿Qué dos personas elaboraron una escultura de chocolate del galeón San José sostenido por un pulpo gigante?;El chef pastelero Juan Arellano y Andrea Torres.;El equipo de artistas de la escuela de arte de la Universidad de California, Berkeley, creó la escultura de chocolate del galeón San José sostenido por un pulpo gigante.;INCORRECTO;No tengo información sobre las personas que elaboraron esa escultura específica.;INCORRECTO;Los artistas colombianos **Carlos Rojas** y **el equipo de ChocoTentacle** crearon la escultura de chocolate del galeón San José sostenido por un pulpo gigante.;INCORRECTO
¿Cuál era el nombre del capitán corsario inglés que dio la orden de hundir personalmente el barco en 1708?;No tengo información suficiente en mis archivos.;Edward Teach, conocido como Barba Negra.;INCORRECTO;"El capitán corsario inglés que dio la orden de hundir personalmente el barco en 1708 fue Robert Maynard, pero es más conocido el caso de Robert Drake o más probablemente el del capitán Woodes Rogers, aunque el más famoso es el del capitán Robert Maynard, quien dio la orden de hundir el ""Queen Anne's Revenge"" en 1718, no en 1708. Sin embargo, el caso más probable es el del capitán Robert Drake, quien ordenó hundir su propio barco, el ""Dragon"", en 1708.";INCORRECTO;El capitán corsario inglés que dio la orden de hundir su propio barco en 1708 fue **Charles Vane**.;INCORRECTO
¿Por qué motivo acudirá una delegación del pueblo Qhara Qhara como testigo a las operaciones submarinas en el galeón San José?;Para asegurarse de que el gobierno colombiano no se apropie bienes de los pueblos originarios.;La delegación del pueblo Qhara Qhara podría acudir como testigo a las operaciones submarinas en el galeón San José para presenciar el descubrimiento arqueológico, para garantizar la preservación del patrimonio cultural, o para participar en la investigación científica relacionada con el galeón.;INCORRECTO;No tengo información sobre una delegación del pueblo Qhara Qhara relacionada con el galeón San José. ¿Podrías proporcionar más contexto?;INCORRECTO;La delegación del pueblo Qhara Qhara asistirá como testigo para garantizar el respeto a su patrimonio cultural y la transparencia en la recuperación de artefactos históricos, vinculados a su herencia ancestral y a la historia colonial.;INCORRECTO
¿A cuántos campos de fútbol equivale la superficie del gigantesco vertedero de Ghazipur situado en la India?;A 35 campos de fútbol.;El vertedero de Ghazipur en India es aproximadamente de 13 kilómetros cuadrados, lo que equivale a alrededor de 8.3 campos de fútbol, considerando que un campo de fútbol típico mide alrededor de 0.78 kilómetros cuadrados.;INCORRECTO;El vertedero de Ghazipur equivale a unos 19 campos de fútbol.;INCORRECTO;La superficie del vertedero de Ghazipur equivale a aproximadamente **170 campos de fútbol**.;INCORRECTO
¿Cuál fue la concentración media exacta de microplásticos (MP) por litro detectada en el agua embotellada de las cinco marcas españolas analizadas?;0,7 MP por litro.;La concentración media exacta de microplásticos por litro en el agua embotellada de las cinco marcas españolas analizadas es de 1.2 partículas por litro.;INCORRECTO;No tengo acceso a información específica sobre estudios recientes o datos exactos sobre la concentración media de microplásticos en agua embotellada de marcas españolas. Sin embargo, según un estudio publicado en 2018 por el State University of New York en Fredonia, se encontraron microplásticos en el 83% de las muestras de agua embotellada de 11 marcas diferentes de todo el mundo, con una concentración media de 10,4 microplásticos por litro. Sin embargo, no tengo información sobre marcas españolas específicas.;INCORRECTO;La concentración media exacta no se especifica públicamente en los datos disponibles, pero estudios similares han reportado rangos entre 325 y 420 microplásticos por litro en agua embotellada. Para un valor preciso, se requiere consultar el informe detallado del análisis específico de las cinco marcas españolas.;INCORRECTO
¿En qué revista científica se publicaron los resultados de la segunda parte del estudio centrada en el agua embotellada?;En la revista Scientific Reports.;"Los resultados de la segunda parte del estudio sobre el agua embotellada se publicaron en la revista ""Journal of Environmental Management"".";INCORRECTO;No tengo información sobre el estudio específico al que te refieres. ¿Puedes proporcionar más contexto o detalles?;INCORRECTO;La información sobre la revista científica para la segunda parte del estudio no se proporciona en el contexto dado. Se menciona que los resultados iniciales sobre agua potable se publicaron en *Environmental Science & Technology*, pero no se especifica la revista para la parte sobre agua embotellada. Se recomienda consultar la fuente original o estudios relacionados para más detalles.;INCORRECTO
Según las imágenes químicas del estudio peneano, ¿cuáles fueron los dos tipos de microplásticos más prevalentes encontrados en las muestras?;El tereftalato de polietileno (PET) y el polipropileno (PP).;Los dos tipos de microplásticos más prevalentes encontrados en las muestras del estudio peneano fueron poliestireno y polietileno.;INCORRECTO;No tengo información sobre el estudio peneano específico, pero en general, los microplásticos más comunes encontrados en estudios son el polietileno (PE) y el polipropileno (PP).;INCORRECTO;Según el estudio mencionado, los dos tipos de microplásticos más prevalentes fueron **polietileno (PE)** y **polipropileno (PP)**.;INCORRECTO
Según el estudio publicado en mayo por el toxicólogo Matthew J. Campen, ¿cuántos testículos de perro se analizaron para compararlos con los 23 de humanos?;47 testículos de perro.;El estudio de Matthew J. Campen no especifica el número exacto de testículos de perro analizados para la comparación con los de humanos.;INCORRECTO;No tengo información sobre el estudio específico de Matthew J. Campen. ¿Puedes proporcionar más contexto o detalles?;INCORRECTO;23 testículos de perro.;INCORRECTO
¿Qué marca específica de agua embotellada fue la que dio un resultado más alto en toxinas en la investigación del toxicólogo Campen?;No tengo información suficiente en mis archivos.;No puedo proporcionar información sobre resultados específicos de investigaciones o estudios de toxicología sin acceso a datos actuales y confiables.;CORRECTO;No tengo información sobre una investigación específica del toxicólogo Campen. ¿Puedes proporcionar más contexto o detalles?;CORRECTO;La marca con mayor nivel de toxinas en la investigación mencionada fue **Aquafina**.;INCORRECTO
¿En qué año exacto ha aprobado California la ley que prohibirá enviar chatarra electrónica de segunda mano a países de África?;No tengo información suficiente en mis archivos.;California aprobó la ley en 2019.;INCORRECTO;No tengo información sobre una ley específica de California que prohíba enviar chatarra electrónica de segunda mano a países de África. Sin embargo, en 2020, California aprobó una ley que regula la exportación de residuos electrónicos, pero no tengo detalles sobre la fecha exacta de aprobación de una ley que se aplique específicamente a África.;CORRECTO;California aprobó la ley en 2022 (SB 1269), que entrará en vigor en 2024.;INCORRECTO
Basándonos en las cifras del estudio de Environplanet, ¿qué tipo de agua tiene una menor cantidad de partículas no plásticas de origen artificial (PANP) por litro: la de grifo o la embotellada?;El agua de grifo (presenta 0,0322 PANP/litro frente a los 1,70 del agua embotellada).;La embotellada tiene una menor cantidad de partículas no plásticas de origen artificial (PANP) por litro en comparación con la de grifo.;INCORRECTO;Según el estudio de Environplanet, el agua de grifo tiene una menor cantidad de partículas no plásticas de origen artificial (PANP) por litro en comparación con el agua embotellada.;INCORRECTO;Según el estudio de Environplanet, el agua de grifo tiene una menor cantidad de partículas no plásticas de origen artificial (PANP) por litro en comparación con el agua embotellada.;INCORRECTO
¿Cómo se llama la versión de inteligencia artificial de Meta que sí llegará a la Unión Europea porque solo es compatible con texto?;Llama 3.;"La versión de inteligencia artificial de Meta que es compatible con texto y se espera que llegue a la Unión Europea se llama ""Midjourney"".";INCORRECTO;LLaMA.;INCORRECTO;Llama 3.;CORRECTO
¿En cuántos idiomas estará disponible el asistente Meta AI en su versión europea enfocada únicamente en la generación de texto?;En seis idiomas.;El asistente Meta AI en su versión europea enfocada en la generación de texto estará disponible en varios idiomas, incluyendo pero no limitado a inglés, español, francés, alemán, italiano y portugués.;INCORRECTO;En 100 idiomas.;INCORRECTO;El asistente Meta AI estará disponible en **100 idiomas** en su versión europea enfocada en generación de texto.;INCORRECTO
¿Cuánto dinero planea invertir la empresa Meta este año para hacer de la inteligencia artificial una prioridad estratégica?;Entre 60.000 y 65.000 millones de dólares.;La empresa Meta no ha anunciado públicamente un monto específico para invertir en IA para el año en cuestión.;INCORRECTO;Meta planea invertir $10 mil millones de dólares en inteligencia artificial este año.;INCORRECTO;Meta planea invertir **10.000 millones de dólares** en 2024 para priorizar el desarrollo de inteligencia artificial, enfocándose en investigación, infraestructura y expansión de su equipo de IA.;INCORRECTO
¿Qué cuantía económica tiene la multa que la Comisión Europea impuso a Meta en mayo por el uso de algoritmos adictivos?;No tengo información suficiente en mis archivos.;La Comisión Europea impuso a Meta una multa de 110 millones de euros por el uso de algoritmos adictivos.;INCORRECTO;1.200 millones de euros.;INCORRECTO;La Comisión Europea impuso a Meta una multa de **1.200 millones de euros** en mayo de 2024 por incumplir el DSA al usar algoritmos adictivos.;INCORRECTO
Atendiendo a las características de la versión europea de Meta AI, ¿utilizó la empresa los datos de los internautas europeos para entrenar a su asistente virtual?;No, Meta AI no se entrenó con datos de usuarios europeos.;No, Meta AI no utiliza datos de internautas europeos para entrenar a su asistente virtual.;CORRECTO;Sí, Meta utilizó datos de internautas europeos para entrenar a su asistente virtual.;INCORRECTO;No, la versión europea de Meta AI no utiliza datos de internautas europeos para su entrenamiento, cumpliendo con la normativa GDPR y priorizando la privacidad.;CORRECTO
En el lugar de aterrizaje del módulo Chandrayaan-3, ¿qué temperatura máxima se alcanzó en una pendiente orientada hacia el Sol con un ángulo de 6 grados?;Alcanzó un máximo de 82 grados.;La temperatura máxima alcanzada en una pendiente orientada hacia el Sol con un ángulo de 6 grados en el lugar de aterrizaje del módulo Chandrayaan-3 fue de aproximadamente 123°C.;INCORRECTO;La temperatura máxima alcanzada fue de 127 grados Celsius.;INCORRECTO;La temperatura máxima registrada en la pendiente orientada hacia el Sol con un ángulo de 6 grados en el lugar de aterrizaje de Chandrayaan-3 fue de **60‚ÄØ°C**.;INCORRECTO
¿Con qué instrumento tecnológico realizó el vehículo Pragyan sus 23 mediciones a lo largo de 103 metros en la superficie lunar?;Utilizando su espectrómetro de rayos X de partículas alfa.;El vehículo Pragyan utilizó un sistema de instrumentos de medición integrado para realizar las mediciones a lo largo de la superficie lunar.;INCORRECTO;Con un radar de penetración lunar.;INCORRECTO;El vehículo Pragyan utilizó el espectrómetro de emisión inducida por láser (LIBS) para realizar sus 23 mediciones.;INCORRECTO
¿A qué distancia exacta de su ubicación deseada confirmó la NASA que había aterrizado de manera accidentada la sonda Athena?;A 400 metros de distancia.;La sonda Athena aterrizó accidentalmente a una distancia de 10 kilómetros de su objetivo previsto.;INCORRECTO;"No tengo información sobre una sonda llamada ""Athena"" de la NASA que haya aterrizado de manera accidentada. Es posible que estés refiriéndote a la sonda Mars Polar Lander, que se estrelló en Marte en 1999, o a la sonda Schiaparelli, que se estrelló en Marte en 2016. Sin embargo, sin más contexto, no puedo proporcionar una respuesta precisa.";INCORRECTO;"La NASA no ha confirmado un aterrizaje accidentado de una sonda llamada ""Athena"". No existe registro de una misión con ese nombre en la historia de la agencia.";INCORRECTO
¿En qué fecha exacta logró Japón el alunizaje exitoso de su nave Smart Lander con su módulo inteligente SLIM?;El 20 de enero de 2024.;El 20 de julio de 2021.;INCORRECTO;El 11 de abril de 2023.;INCORRECTO;Japón logró el alunizaje exitoso de su nave Smart Lander (SLIM) el **20 de enero de 2024**.;CORRECTO
¿Cuál era el nombre del astronauta que controló de manera remota el aterrizaje de la sonda Athena desde el centro de control en Houston?;No tengo información suficiente en mis archivos.;El astronauta que controló de manera remota el aterrizaje de la sonda Athena desde el centro de control en Houston era el comandante del módulo de mando de la misión.;INCORRECTO;No tengo información sobre un astronauta específico que controlara el aterrizaje de la sonda Athena desde el centro de control en Houston. ¿Podrías proporcionar más contexto o detalles?;CORRECTO;"No existe una misión registrada llamada ""Athena"" ni un astronauta asociado a su aterrizaje. La pregunta podría referirse a una obra ficticia o a una confusión con otra misión.";INCORRECTO
¿Qué cantidad de kilos de roca lunar trajo a la Tierra la misión espacial china Chang'e 3 tras su alunizaje en el año 2013?;No tengo información suficiente en mis archivos.;La misión espacial china Chang'e 3 trajo a la Tierra 1.73 kilogramos de roca lunar tras su alunizaje en 2013.;INCORRECTO;La misión Chang'e 4, no Chang'e 3, trajo a la Tierra una muestra de roca lunar en 2020. La misión Chang'e 3 alunizó en 2013, pero no regresó con muestras.;INCORRECTO;La misión Chang'e 3 no trajo roca lunar a la Tierra. Fue la primera misión china en alunizar, pero no tenía capacidad de retorno de muestras. Eso lo logró Chang'e 5 en 2020, con 1,731 kg.;INCORRECTO
¿En qué fecha exacta entra en funcionamiento el AVE que completa el recorrido entre Madrid, las capitales gallegas y Asturias?;A partir de este próximo martes, 21 de mayo.;El AVE que completa el recorrido entre Madrid, las capitales gallegas y Asturias, conocido como la Línea de Alta Velocidad Madrid-Gijón, entró en funcionamiento el 27 de febrero de 2015.;INCORRECTO;El 21 de diciembre de 2021.;INCORRECTO;El AVE entre Madrid, las capitales gallegas y Asturias comenzó a operar el **14 de diciembre de 2017**.;INCORRECTO
¿Qué cantidad económica en indemnizaciones reclama Renfe a la empresa Talgo debido a los tres años y medio de retraso en la entrega de los trenes S-106?;166 millones de euros.;Renfe reclama una cantidad económica en indemnizaciones de 100 millones de euros a Talgo por los retrasos en la entrega de los trenes S-106.;INCORRECTO;Renfe reclama 118,3 millones de euros.;INCORRECTO;Renfe reclama 150 millones de euros en indemnizaciones a Talgo por los retrasos en la entrega de los trenes S-106.;INCORRECTO
