﻿Pregunta;Esperada;C1_SLM_Resp;C1_Eval;C2_LLM_Resp;C2_Eval;C2B_QWEN_Resp;C2B_Eval
Gracias a la puesta en marcha de los nuevos convoyes Avril, ¿cuántos minutos de viaje se ahorrarán los pasajeros que realicen el trayecto en alta velocidad entre Oviedo y Madrid?;Se reducirá el tiempo de viaje en 12 minutos.;Los pasajeros ahorrarán aproximadamente 1 hora y 30 minutos en el trayecto entre Oviedo y Madrid con los nuevos convoyes Avril.;INCORRECTO;Se ahorrarán 29 minutos.;INCORRECTO;Los pasajeros ahorrarán **40 minutos** en el trayecto entre Oviedo y Madrid con los nuevos convoyes Avril.;INCORRECTO
¿A qué velocidad máxima exacta circuló el tren con destino a Vigo mientras atravesaba los montes galaicos tras salir de Zamora?;No tengo información suficiente en mis archivos.;La velocidad máxima exacta del tren no se proporciona en la pregunta.;CORRECTO;No tengo información específica sobre la velocidad máxima exacta de un tren con destino a Vigo mientras atravesaba los montes galaicos tras salir de Zamora. La velocidad de los trenes puede variar dependiendo de la ruta, el tipo de tren y las condiciones de la vía. Si necesitas información precisa, te recomiendo consultar con la empresa ferroviaria correspondiente o con fuentes oficiales.;CORRECTO;No se dispone de datos exactos sobre la velocidad máxima de un tren específico en ese tramo, ya que depende del tipo de tren, las condiciones de la vía y las restricciones de seguridad. En líneas convencionales, suelen circular entre 120-160 km/h, pero en zonas montañosas pueden reducirse.;CORRECTO
¿Cuántos trenes totales se incluían en el contrato que Renfe adjudicó a Talgo por 1.281 millones de euros en el año 2016?;30 trenes S106.;El contrato de Renfe con Talgo en 2016 incluía la compra de 12 trenes de alta velocidad.;INCORRECTO;Seis trenes.;INCORRECTO;12 trenes.;INCORRECTO
Según las declaraciones del ministro Mario Marcel, ¿cuántas empresas en total presentaron propuestas al Gobierno de Chile para explotar los 26 salares disponibles?;54 empresas.;No se proporciona información específica en la instrucción sobre el número exacto de empresas que presentaron propuestas para explotar los 26 salares en Chile.;INCORRECTO;Según declaraciones del ministro Mario Marcel, 51 empresas presentaron propuestas para explotar los 26 salares disponibles en Chile.;INCORRECTO;14 empresas.;INCORRECTO
¿En qué mes y año comenzará a operar comercialmente la nueva sociedad creada por Codelco y SQM para explotar el litio en el salar de Atacama?;En enero de 2025.;La nueva sociedad entre Codelco y SQM para explotar el litio en el salar de Atacama comenzó a operar comercialmente en marzo de 2023.;INCORRECTO;No tengo información actualizada sobre el inicio de operaciones comerciales de la sociedad creada por Codelco y SQM para explotar el litio en el salar de Atacama.;INCORRECTO;La nueva sociedad comenzará a operar comercialmente en el primer semestre de 2024.;INCORRECTO
Para garantizar el control del Estado en la nueva asociación público-privada entre Codelco y SQM, ¿qué participación accionarial mantendrá la empresa estatal?;Tendrá la mayoría de las acciones (el 50% más una).;La empresa estatal mantendrá una participación accionaria del 51% en la nueva asociación público-privada entre Codelco y SQM.;CORRECTO;Mantendrá el 50% + 1 acción.;CORRECTO;Codelco mantendrá una participación accionarial del **22.4%** en SQM, asegurando así el control estatal en la alianza.;INCORRECTO
Durante el partido de clasificación disputado en Tiflis frente a Georgia, ¿qué jugador de la selección española anotó el primer gol de penalti en el minuto 11?;Mikel Oyarzabal.;El primer gol de penalti en el partido de clasificación disputado en Tiflis frente a Georgia por la selección española fue anotado por Sergio Ramos en el minuto 11.;INCORRECTO;Dani Olmo.;INCORRECTO;-;INCORRECTO
¿Cuál fue el porcentaje exacto de posesión de balón que tuvo la selección española en la segunda parte del partido contra Georgia?;No tengo información suficiente en mis archivos.;La selección española tuvo un 60% de posesión de balón en la segunda parte del partido contra Georgia.;INCORRECTO;Lo siento, no tengo acceso a información específica sobre un partido en particular entre la selección española y Georgia. ¿Puedo ayudarte con algo más?;CORRECTO;No tengo acceso a datos en tiempo real ni estadísticas específicas de partidos recientes. Para obtener el porcentaje exacto de posesión de la selección española en la segunda parte del partido contra Georgia, consulta fuentes oficiales como la UEFA, sitios de estadísticas deportivas (por ejemplo, Opta, Sofascore) o informes del partido.;CORRECTO
¿A qué precio exacto vendió la compañía SQM la tonelada de litio a China durante el último trimestre comercial de 2024?;No tengo información suficiente en mis archivos.;No puedo proporcionar información actualizada o futuras sobre precios de mercado específicos, incluyendo aquellos de la compañía SQM o de cualquier otro negocio.;CORRECTO;Lo siento, no tengo acceso a información en tiempo real o actualizaciones después de 2023. No puedo proporcionar el precio exacto de la venta de litio de SQM a China en el último trimestre de 2024.;CORRECTO;No tengo acceso a datos en tiempo real ni a informes financieros de 2024. Mi conocimiento se actualiza hasta 2023. Consulte informes oficiales de SQM o plataformas de análisis de mercados para obtener cifras actualizadas.;CORRECTO
¿En qué ciudad española tiene su sede la Agencia Española de Supervisión de la Inteligencia Artificial (Aesia)?;En La Coruña.;La Agencia Española de Supervisión de la Inteligencia Artificial (Aesia) tiene su sede en Madrid, España.;INCORRECTO;La Agencia Española de Supervisión de la Inteligencia Artificial (Aesia) tiene su sede en Madrid.;INCORRECTO;Madrid.;INCORRECTO
¿Cuántas entradas tiene la clasificación europea de competencias conocida como ESCO?;Más de 13.000 entradas.;La clasificación europea de competencias, conocida como ESCO, tiene 14 categorías de competencias.;INCORRECTO;La clasificación europea de competencias (ESCO) tiene más de 13.600 entradas.;CORRECTO;ESCO tiene aproximadamente 1.200 ocupaciones, 4.000 competencias y 1.500 conocimientos.;INCORRECTO
Según la información aportada por la Xunta, ¿cuántos puestos de trabajo calificados como de 'urgente cobertura' hay en Galicia que no se logran cubrir?;Unos 15.000 puestos.;No hay suficiente información proporcionada para determinar el número exacto de puestos de trabajo calificados como de 'urgente cobertura' en Galicia que no se logran cubrir.;INCORRECTO;No se proporciona información específica sobre la cantidad de puestos de trabajo calificados como de 'urgente cobertura' en Galicia que no se logran cubrir. Sin embargo, puedo decirte que la Xunta de Galicia suele publicar informes y datos sobre el mercado laboral en la región. Si necesitas información actualizada, te recomiendo consultar el sitio web oficial de la Xunta de Galicia o contactar directamente con ellos para obtener la información más reciente.;INCORRECTO;Según la Xunta de Galicia, en 2023 existían **25.000 puestos de trabajo calificados como 'urgente cobertura'** que no se lograban cubrir, especialmente en sectores como construcción, salud y agricultura.;INCORRECTO
¿Qué gran empresa tecnológica estadounidense ha desarrollado la herramienta de inteligencia artificial EMi para la Xunta de Galicia?;No tengo información suficiente en mis archivos.;La empresa Microsoft ha desarrollado la herramienta de inteligencia artificial EMi para la Xunta de Galicia.;INCORRECTO;Microsoft.;INCORRECTO;Microsoft.;INCORRECTO
¿Qué empresa utiliza en California vehículos sin conductor para entregar suministros médicos?;La empresa Nuro.;Uber Eats utiliza vehículos sin conductor en California para entregar suministros médicos.;INCORRECTO;Nuro.;CORRECTO;Nuro utiliza vehículos sin conductor en California para entregar suministros médicos, colaborando con empresas como Walgreens.;CORRECTO
¿En qué ciudad de Colombia se celebra el VIII Congreso de Editores de Europa y América Latina?;En Cartagena de Indias.;El VIII Congreso de Editores de Europa y América Latina se celebra en Bogotá, Colombia.;INCORRECTO;Bogotá.;INCORRECTO;Medellín.;INCORRECTO
¿Qué tratamiento médico específico procedente de cadáveres generó casos de transmisión de alzhéimer entre personas?;Un tratamiento con hormona del crecimiento.;El tratamiento médico específico que generó casos de transmisión de alzhéimer entre personas es el uso de células de diálisis derivadas de cadáveres (CDC).;INCORRECTO;La contaminación con proteínas priónicas en la hormona del crecimiento extraída de cadáveres humanos, que se utilizó para tratar el crecimiento en niños, ha sido asociada con la transmisión de la enfermedad de Creutzfeldt-Jakob, no específicamente el Alzheimer. Sin embargo, se ha reportado un caso de transmisión de la enfermedad de Alzheimer a través de injertos de dura máter procedentes de cadáveres.;INCORRECTO;El tratamiento con hormona de crecimiento humano (hGH) derivado de cadáveres en la década de 1980 generó casos de transmisión de enfermedad de Creutzfeldt-Jakob (CJD), una enfermedad por priones, no Alzheimer. No hay evidencia de transmisión de Alzheimer mediante este método.;INCORRECTO
¿Cómo se llama el fármaco oral en fase de estudio que busca prevenir el Alzheimer bloqueando los oligómeros amiloides?;ALZ-801.;El fármaco oral en fase de estudio que busca prevenir el Alzheimer bloqueando los oligómeros amiloides se llama Solanezumab.;INCORRECTO;Simufilam.;INCORRECTO;El fármaco es **CTP-543** (también conocido como **Pimavanserin** en estudios previos), desarrollado por Cognition Therapeutics, que actúa bloqueando los oligómeros tóxicos de amiloide-beta.;INCORRECTO
¿Qué herramienta de inteligencia artificial utiliza Google para acelerar el estudio de proteínas relacionadas con el Alzheimer?;AlphaFold.;Google utiliza TensorFlow, una herramienta de aprendizaje automático desarrollada por Google, para acelerar el estudio de proteínas relacionadas con el Alzheimer.;INCORRECTO;AlphaFold.;CORRECTO;AlphaFold;CORRECTO
¿Quién es el autor colombiano del libro de poesía 'Grietas de la luz' (2024) que honra la memoria de sus abuelas?;Federico Díaz Granados.;El autor colombiano del libro de poesía 'Grietas de la luz' (2024) que honra la memoria de sus abuelas es Juan Pablo Villalobos.;INCORRECTO;No tengo información sobre el autor colombiano del libro de poesía 'Grietas de la luz' (2024).;INCORRECTO;El autor es **Juan Pablo Bonilla**.;INCORRECTO
¿En qué año exacto descubrió Google la cura definitiva para el Alzheimer con su IA AlphaFold?;No tengo información suficiente en mis archivos.;Google no ha descubierto una cura definitiva para el Alzheimer con su IA AlphaFold. AlphaFold es un programa de inteligencia artificial desarrollado por DeepMind, una subsidiaria de Google, que ha logrado predecir la estructura tridimensional de proteínas con alta precisión, lo que podría contribuir a la investigación médica, pero no ha proporcionado una cura para el Alzheimer.;INCORRECTO;No hay evidencia de que Google haya descubierto la cura definitiva para el Alzheimer con su IA AlphaFold. AlphaFold es una herramienta de inteligencia artificial desarrollada por DeepMind (una filial de Alphabet, la empresa matriz de Google) que ha logrado avances significativos en la predicción de la estructura de las proteínas, lo que puede ser útil en la investigación de enfermedades como el Alzheimer, pero no ha encontrado una cura definitiva.;INCORRECTO;Google (a través de DeepMind) no ha descubierto una cura definitiva para el Alzheimer con AlphaFold. La IA predice estructuras proteicas, lo que ayuda en la investigación, pero no hay una cura confirmada al 2024.;INCORRECTO
¿Cuál fue la cifra exacta de recaudación de la tasa turística en la comarca del Maresme durante el año 2024?;4.662.602 euros.;La cifra exacta de recaudación de la tasa turística en la comarca del Maresme durante el año 2024 fue de 12 millones de euros.;INCORRECTO;Lo siento, no tengo acceso a información actualizada hasta 2024. Mi conocimiento se limita a 2023.;INCORRECTO;No tengo acceso a datos reales de 2024, ya que mi conocimiento se actualiza hasta octubre de 2023. Consulte fuentes oficiales de la comarca del Maresme para obtener cifras actualizadas.;INCORRECTO
Según el informe del Maresme, ¿cuál es el porcentaje de hombres que integran el perfil del turista en la comarca?;El 64,1%.;El porcentaje de hombres que integran el perfil del turista en la comarca Maresme es del 58%.;INCORRECTO;Según el informe del Maresme, el 47,1% del perfil del turista en la comarca son hombres.;INCORRECTO;Según el informe del Maresme, el **52%** de los turistas en la comarca son hombres.;INCORRECTO
Según las previsiones del Ministerio de Industria y Turismo en 2023, ¿cuántos millones de euros de gasto generaron los turistas internacionales en España?;Más de 108.000 millones de euros.;En 2023, el Ministerio de Industria y Turismo de España preveía que los turistas internacionales generarían un gasto de aproximadamente 70 mil millones de euros.;INCORRECTO;91.961 millones de euros.;INCORRECTO;55.000 millones de euros.;INCORRECTO
De acuerdo con los datos de Mesa del Turismo, ¿cuántos turistas mexicanos aproximadamente visitaron España el año pasado?;Más de un millón de mexicanos.;Según los datos de Mesa del Turismo, aproximadamente 1.2 millones de turistas mexicanos visitaron España el año pasado.;CORRECTO;No tengo acceso a datos actualizados de la Mesa del Turismo. Sin embargo, puedo sugerirte consultar directamente con la Mesa del Turismo o fuentes oficiales de turismo de España para obtener la información más reciente y precisa sobre el número de turistas mexicanos que visitaron España el año pasado.;INCORRECTO;Aproximadamente 1.8 millones de turistas mexicanos visitaron España en 2023, según datos de Mesa del Turismo.;CORRECTO
¿Qué porcentaje exacto de impuestos aplicará Donald Trump a los turistas españoles que viajen a Nueva York?;No tengo información suficiente en mis archivos.;No se puede proporcionar un porcentaje exacto sin información específica sobre las leyes fiscales vigentes en ese momento y los tratados fiscales entre Estados Unidos y España.;CORRECTO;No tengo información sobre un impuesto específico aplicado por Donald Trump a los turistas españoles en Nueva York. Los impuestos varían según las leyes y políticas vigentes, y no tengo acceso a información actualizada sobre cambios específicos en la política fiscal de EE. UU. o Nueva York.;CORRECTO;Donald Trump no ha anunciado ni propuesto un impuesto específico para turistas españoles en Nueva York. No existe un porcentaje oficial en este sentido.;INCORRECTO
¿Qué porcentaje cayeron las ventas de la marca Tesla en España durante el mes de octubre?;Un 31%.;"Para responder a esta pregunta, necesitaríamos acceder a los datos de ventas de Tesla en España para el mes de octubre, comparándolos con los datos de ventas del mes anterior. El porcentaje de disminución se calcularía utilizando la fórmula:


Porcentaje de disminución = ((Ventas de octubre - Ventas de septiembre) / Ventas de septiembre) * 100


Sin embargo, como no tengo acceso a datos actuales, no puedo proporcionar una respuesta específica.";INCORRECTO;No tengo acceso a información actualizada sobre las ventas de Tesla en España para el mes de octubre. Sin embargo, puedo sugerirte buscar fuentes confiables como noticias o informes de la industria para obtener la información más reciente.;INCORRECTO;No tengo datos actualizados sobre las ventas de Tesla en España para octubre. Para información precisa, consulta reportes oficiales de Tesla o fuentes de noticias recientes.;INCORRECTO
¿Cuáles son los nombres de los dos gigantes chinos que concentran más del 50% del suministro global de baterías para coches eléctricos?;CATL y BYD.;CATL y BYD;CORRECTO;CATL y BYD.;CORRECTO;CATL y BYD.;CORRECTO
¿Cómo se denomina comercialmente la batería de producción propia que fabrica la empresa automovilística BYD a través de su filial FinDreams Battery?;Blade Battery.;La batería comercialmente producida por la filial FinDreams Battery de BYD se conoce como la batería de iones de litio de BYD.;INCORRECTO;"La batería se denomina ""Blade Battery"".";CORRECTO;"La batería se denomina comercialmente como ""ÂàÄÁâáÁîµÊ±†"" (batería de cuchilla o blade battery).";CORRECTO
Según un nuevo estudio, ¿a qué porcentaje anual ha bajado la tasa de degradación de las baterías de coches eléctricos en los últimos cinco años?;Ha bajado al 1,8% anual.;La tasa de degradación de las baterías de coches eléctricos ha bajado un 2% anual en los últimos cinco años.;INCORRECTO;Un 15%.;INCORRECTO;La tasa de degradación de las baterías de coches eléctricos ha disminuido un **1% anual** en los últimos cinco años, según un estudio reciente.;INCORRECTO
¿Cuántas gigafactorías de baterías tiene actualmente operativas la marca BYD en territorio español?;No tengo información suficiente en mis archivos.;Actualmente, BYD tiene una única gigafactoria de baterías operativa en territorio español, ubicada en la Comunidad Valenciana.;INCORRECTO;Una.;INCORRECTO;BYD no tiene actualmente ninguna gigafábrica de baterías operativa en territorio español.;INCORRECTO
¿Cuántas hectáreas de olivar dedica la Cooperativa Olivarera de Los Pedroches (Olipe) al cultivo biodinámico?;300 hectáreas.;La Cooperativa Olivarera de Los Pedroches (Olipe) no tiene información pública disponible que especifique el número exacto de hectáreas dedicadas al cultivo biodinámico. Para obtener esta información, sería necesario contactar directamente a la cooperativa o consultar sus últimos informes de producción.;INCORRECTO;La Cooperativa Olivarera de Los Pedroches (Olipe) dedica 100 hectáreas al cultivo biodinámico.;INCORRECTO;La Cooperativa Olivarera de Los Pedroches (Olipe) dedica aproximadamente **1.500 hectáreas** al cultivo biodinámico.;INCORRECTO
De acuerdo con la reforma presupuestaria que se debate en las instituciones comunitarias, ¿qué porcentaje de reducción de fondos podrían sufrir las ayudas de la Política Agraria Común (PAC)?;Una reducción del 20%.;La reducción de fondos para la Política Agraria Común (PAC) depende de los acuerdos específicos alcanzados durante las negociaciones de la reforma presupuestaria. No se puede proporcionar un porcentaje exacto sin datos actuales de los debates y propuestas en curso.;INCORRECTO;Un 15% de reducción.;INCORRECTO;Las ayudas de la PAC podrían reducirse entre un 10% y un 15% según las propuestas de reforma presupuestaria en debate en las instituciones comunitarias.;INCORRECTO
¿Cuántos puntos recogía el pacto que firmaron los agricultores de la plataforma Gremi de la Pagesia con el departament d‚ÄôAgricultura de Cataluña?;19 puntos.;El pacto entre los agricultores de la plataforma Gremi de la Pagesia y el Departamento de Agricultura de Cataluña no está especificado en la pregunta, por lo que no se puede proporcionar una respuesta precisa sin información adicional.;INCORRECTO;El pacto recogía 10 puntos.;INCORRECTO;El pacto incluía 12 puntos.;INCORRECTO
¿Cuántos años llevaba en su cargo el coordinador de Unió de Pagesos, Joan Caball, antes de certificarse su relevo?;25 años.;Joan Caball había estado en su cargo como coordinador de Unió de Pagesos durante 10 años antes de ser reemplazado.;INCORRECTO;No tengo información sobre el tiempo que llevaba Joan Caball en su cargo antes de su relevo.;INCORRECTO;Joan Caball llevaba 6 años en su cargo como coordinador de Unió de Pagesos antes de certificarse su relevo en 2023.;INCORRECTO
¿Quién es el autor del libro 'El juego del dinero' citado en el artículo sobre la riqueza y la clase media?;Gary Stevenson.;El autor del libro 'El juego del dinero' es Vitali-Victor Korotkikh.;INCORRECTO;"El autor del libro ""El juego del dinero"" es Adam Khoo.";INCORRECTO;José María Sánchez.;INCORRECTO
¿Qué plaga específica de insectos devoradores de cultivos acordaron combatir en el pacto de 19 puntos firmado en Cataluña?;No tengo información suficiente en mis archivos.;El pacto de 19 puntos firmado en Cataluña no especifica una plaga de insectos en particular, sino que es un documento político que abarca una serie de demandas y compromisos relacionados con la autonomía y la soberanía de Cataluña.;INCORRECTO;La plaga específica de insectos devoradores de cultivos que se acordó combatir en el pacto de 19 puntos firmado en Cataluña es la langosta.;INCORRECTO;La plaga específica fue el **bicho Colorado** (*Leptinotarsa decemlineata*), una oruga que destruía cultivos de patatas. El pacto de 19 puntos, firmado en 1940, coordinó medidas para combatirlo.;INCORRECTO
Según el informe de ISACA en 2024, ¿qué porcentaje de profesionales de ciberseguridad afirma que no cuentan con el presupuesto necesario?;El 52%.;Según el informe de ISACA en 2024, el 60% de los profesionales de ciberseguridad afirma que no cuentan con el presupuesto necesario.;INCORRECTO;62% de los profesionales de ciberseguridad afirman que no cuentan con el presupuesto necesario.;INCORRECTO;No tengo acceso a datos en tiempo real ni al informe de ISACA 2024. Para obtener esta información, consulta directamente el informe oficial de ISACA o su sitio web.;INCORRECTO
¿Qué cantidad económica va a inyectar Google.org a la Universidad de Málaga para su programa de seminarios de ciberseguridad?;Un millón de dólares.;No puedo proporcionar información sobre donaciones específicas de Google.org a la Universidad de Málaga o cualquier otra entidad.;INCORRECTO;Lo siento, no tengo información sobre una donación específica de Google.org a la Universidad de Málaga para un programa de seminarios de ciberseguridad. ¿Necesitas ayuda con algo más?;INCORRECTO;No tengo información específica sobre una inyección de fondos de Google.org a la Universidad de Málaga para seminarios de ciberseguridad. Te recomiendo consultar fuentes oficiales o noticias actualizadas para obtener detalles precisos.;INCORRECTO
¿En qué año fundó el empresario israelí Nir Zuk la firma de ciberseguridad Palo Alto Networks?;En el año 2005.;Palo Alto Networks fue fundada por Nir Zuk en el año 2005.;CORRECTO;Nir Zuk fundó Palo Alto Networks en 2005.;CORRECTO;2005;CORRECTO
Según el informe del Observatorio de Digitalización de GoDaddy 2023, ¿qué porcentaje de pymes españolas han sido víctimas de algún ciberataque?;El 60% de las empresas españolas.;Según el informe del Observatorio de Digitalización de GoDaddy 2023, el 30% de las pymes españolas han sido víctimas de algún ciberataque.;INCORRECTO;El 71% de las pymes españolas han sido víctimas de algún ciberataque.;INCORRECTO;62%;INCORRECTO
¿Para qué sirve específicamente la solución tecnológica HP Sure Recover mencionada en el informe de protección para pymes?;Para ayudar a restaurar rápidamente la funcionalidad del sitio web en caso de ataques o caídas.;La solución tecnológica HP Sure Recover está diseñada para restaurar datos y sistemas en caso de pérdida o corrupción, proporcionando una herramienta de recuperación rápida y eficiente para pequeñas y medianas empresas.;INCORRECTO;La solución tecnológica HP Sure Recover sirve para recuperar automáticamente el sistema operativo y los datos en caso de un ataque cibernético o falla del sistema.;CORRECTO;HP Sure Recover es una solución de recuperación de sistemas que permite restaurar rápidamente equipos tras fallos o ataques, garantizando la continuidad del negocio y la protección de datos críticos para pymes.;CORRECTO
¿Qué grupo de hackers ruso reivindicó el último ataque a la infraestructura de Red Eléctrica?;No tengo información suficiente en mis archivos.;"El grupo de hackers ruso que reivindicó el último ataque a la infraestructura de Red Eléctrica es conocido como ""Fancy Bear"" o ""APT28"".";INCORRECTO;"No tengo información actualizada sobre el último ataque a la infraestructura de Red Eléctrica. Sin embargo, grupos como ""Killnet"" han sido conocidos por realizar ataques cibernéticos en el pasado.";CORRECTO;El grupo ruso que reivindicó el ataque a la infraestructura de Red Eléctrica fue **Killnet**.;INCORRECTO
Según el estudio de la Asociación Estadounidense del Corazón, ¿cuántas horas de sueño por noche necesita la mayoría de los adultos?;Entre 7 y 9 horas.;La Asociación Estadounidense del Corazón recomienda que la mayoría de los adultos necesiten entre 7 y 9 horas de sueño por noche.;CORRECTO;7-9 horas.;CORRECTO;7 a 8 horas.;INCORRECTO
En el estudio de la Universidad Tecnológica de Sidney sobre la dieta mediterránea, ¿cuántos hombres participaron y de qué rango de edad?;Participaron 71 hombres de edades comprendidas entre 18 y 25 años.;En el estudio de la Universidad Tecnológica de Sidney sobre la dieta mediterránea, participaron 150 hombres, todos mayores de 50 años.;INCORRECTO;No tengo información específica sobre ese estudio. ¿Puedo ayudarte con algo más?;INCORRECTO;150 hombres, de 30 a 70 años.;INCORRECTO
Según los investigadores, ¿a través de qué vía o nervio específico se comunican las bacterias del tracto intestinal con el cerebro?;A través del nervio vago.;Las bacterias del tracto intestinal pueden comunicarse con el cerebro a través del sistema nervioso entérico, específicamente a través de las vías vagales y de las fibras parasimpáticas.;CORRECTO;El nervio vago.;CORRECTO;El nervio vago (vagus) es la vía principal mediante la cual las bacterias del tracto intestinal se comunican con el cerebro.;CORRECTO
¿Cuántos participantes se incluyeron en el análisis de datos del estudio SOL-INCA-MRI enfocado en la materia blanca cerebral?;Más de 2.774 participantes.;El estudio SOL-INCA-MRI incluyó 120 participantes en su análisis de datos.;INCORRECTO;No tengo información específica sobre el estudio SOL-INCA-MRI. ¿Puedo ayudarte con algo más?;INCORRECTO;No tengo acceso a los datos específicos del estudio SOL-INCA-MRI. Consulte la publicación original del estudio para obtener información precisa sobre el número de participantes.;INCORRECTO
De todos los componentes de la dieta mediterránea, ¿qué dos alimentos específicos se asociaban de manera más estrecha con las características deseables de la materia blanca cerebral?;El pescado y los cereales integrales.;La dieta mediterránea se asocia con una mejor salud cerebral, especialmente en la materia blanca del cerebro. Dos alimentos específicos que se asocian estrechamente con estas características son los aceites de oliva y los frutos secos, como almendras y avellanas. Estos alimentos son ricos en grasas monoinsaturadas y polifenoles, que se han relacionado con una mejor función cognitiva y una menor degeneración de la materia blanca.;INCORRECTO;Frutas y verduras.;INCORRECTO;Aceite de oliva virgen y pescado.;INCORRECTO
¿En qué revista científica se publicó la nueva declaración de la Asociación Estadounidense del Corazón sobre el sueño y el cardiometabolismo?;En la revista 'Circulation: Cardiovascular Quality and Outcomes'.;"La nueva declaración de la Asociación Estadounidense del Corazón sobre el sueño y el cardiometabolismo se publicó en la revista ""Circulation"".";INCORRECTO;"La declaración se publicó en la revista ""Circulation"".";INCORRECTO;La declaración se publicó en la revista **Circulation**.;INCORRECTO
¿En qué hospital español se descubrió que la dieta mediterránea cura clínicamente la depresión profunda en dos semanas?;No tengo información suficiente en mis archivos.;El Hospital Clínico de Barcelona.;INCORRECTO;No hay evidencia de que un hospital español haya descubierto que la dieta mediterránea cure clínicamente la depresión profunda en dos semanas. Sin embargo, estudios han demostrado que la dieta mediterránea puede tener beneficios para la salud mental y reducir los síntomas de depresión.;INCORRECTO;Hospital Universitario Reina Sofía de Córdoba (España), liderado por el Dr. José María Delgado, en 2019.;INCORRECTO